School,Major,Algorithms and Numerical Methods,Machine Learning,Project Management,Math and Statistics
NTU,Data Science and Artificial Intelligence,46.8,14.2,21.8,17.2
NTU,Economics and Data Science,27.8,34.3,24.0,13.9
NUS,Business Analytics,34.0,20.8,32.6,12.6
NUS,Data Science and Analytics,55.4,4.3,3.5,36.8
NUS,Data Science and Economics,50.0,24.6,3.3,22.1
NUS,Quantitative Finance,28.6,4.9,18.0,48.5
NUS,Statistics,34.0,6.4,7.5,52.1
SMU,Data Science and Analytics,48.4,14.8,22.2,14.5
SMU,Information Systems (Business Analytics),26.7,32.9,39.9,0.5
SMU,Quantitative Finance,19.2,2.6,60.9,17.3
